City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carauari,BR,86.18,broken clouds,-4.8828,-66.8958,Hotel Fellip
2,Gizo,SB,82.26,scattered clouds,-8.103,156.8419,Imagination Island
13,Shingu,JP,77.11,overcast clouds,33.7333,135.9833,Shingu UI Hotel
23,Orikum,AL,75.7,clear sky,40.3253,19.4714,Hotel Denta
24,Alexandria,EG,78.03,few clouds,31.2156,29.9553,Royal Crown Hotel
25,Sinnamary,GF,80.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
27,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
31,Jega,NG,75.36,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
32,Ribeira Grande,PT,75.99,light rain,38.5167,-28.7,Quinta da Meia Eira
37,Kapaa,US,84.09,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Macklin,CA,88.14,broken clouds,52.3334,-109.9348,Macklin Motor Inn
46,Atuona,PF,76.8,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
47,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
48,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Portland,US,87.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
56,Sungai Petani,MY,78.67,overcast clouds,5.647,100.4877,Swiss Inn Sungai Petani
62,Manaure,CO,84.81,overcast clouds,11.7751,-72.4445,Hotel Palaaima
65,Tautira,PF,76.53,light rain,-17.7333,-149.15,Pension Oaoa
70,Totness,SR,80.71,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
72,Sao Filipe,CV,78.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
76,Allapalli,IN,75.99,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
89,Jardim,BR,81.03,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
