,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carauari,BR,-4.8828,-66.8958,86.18,52,80,2.08,broken clouds
1,Norton,ZW,-17.8833,30.7,56.28,60,0,8.84,clear sky
2,Gizo,SB,-8.103,156.8419,82.26,75,38,6.6,scattered clouds
3,Busselton,AU,-33.65,115.3333,47.44,84,83,5.46,broken clouds
4,Yar-Sale,RU,66.8333,70.8333,31.87,83,75,8.46,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,72.77,74,6,23.94,clear sky
6,Coquimbo,CL,-29.9533,-71.3436,53.33,76,75,8.05,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,100,12.66,light intensity drizzle
8,Jamestown,US,42.097,-79.2353,68.18,69,100,8.05,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,61.3,89,2,10.87,clear sky
10,Sangmelima,CM,2.9333,11.9833,69.19,95,88,4.27,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,37.06,70,40,3.44,scattered clouds
12,Kontagora,NG,10.3999,5.4695,69.8,95,88,1.28,overcast clouds
13,Shingu,JP,33.7333,135.9833,77.11,88,98,5.99,overcast clouds
14,Bethel,US,41.3712,-73.414,70.93,77,96,1.99,overcast clouds
15,Castro,BR,-24.7911,-50.0119,57.9,94,14,3.27,few clouds
16,Teofilo Otoni,BR,-17.8575,-41.5053,66.74,75,100,6.33,overcast clouds
17,Meulaboh,ID,4.1363,96.1285,74.03,89,100,5.75,overcast clouds
18,Beyneu,KZ,45.3167,55.2,64.99,48,97,4.52,overcast clouds
19,Kalangala,UG,-0.3089,32.225,69.15,76,79,13.44,moderate rain
20,Baijiantan,CN,45.6333,85.1833,77.68,16,0,2.21,clear sky
21,Kabompo,ZM,-13.5927,24.2008,62.47,30,0,5.64,clear sky
22,Lompoc,US,34.6391,-120.4579,100.54,53,0,16.11,clear sky
23,Orikum,AL,40.3253,19.4714,75.7,70,0,5.57,clear sky
